"","storm_db_id","krakow_id"
"2","0001","67809"
"3","0002","51902"
"4","0003","42733"
"5","0004","72597"
"6","0005","33473"
"7","0006","24295"
"8","0007","98754"
"9","0008","27942"
"10","0009","85311"
"11","0010","35150"
"12","0011","52421"
"13","0012","38430"
"14","0013","26839"
"15","0014","31271"
"16","0015","80621"
"17","0016","86095"
"18","0017","98735"
"19","0018","53211"
"20","0019","30228"
"21","0020","58474"
"22","0021","85651"
"23","0022","67431"
"24","0023","90983"
"25","0024","67891"
"26","0025","60652"
"27","0026","72607"
"28","0027","93266"
"29","0028","28483"
"30","0029","35929"
"31","0030","95908"
"32","0031","91112"
"33","0032","45698"
"34","0033","30982"
"35","0034","32382"
"36","0035","76838"
"37","0036","29970"
"38","0037","82986"
"39","0038","26545"
"40","0039","73039"
"41","0040","89277"
"42","0041","66244"
"43","0042","29533"
"44","0043","69543"
"45","0044","87929"
"46","0045","78449"
"47","0046","87345"
"48","0047","32745"
"49","0048","50754"
"50","0049","83804"
"51","0050","45764"
"52","0051","70639"
"53","0052","79093"
"54","0053","36242"
"55","0054","72932"
"56","0055","96269"
"57","0056","75360"
"58","0057","16026"
"59","0058","72974"
"60","0059","32887"
"61","0060","26048"
"62","0061","51927"
"63","0062","34605"
"64","0063","13711"
"65","0064","50410"
"66","0065","38681"
"67","0066","79623"
"68","0067","97515"
"69","0068","84970"
"70","0069","71785"
"71","0070","51596"
"72","0071","44567"
"73","0072","17274"
"74","0073","68536"
"75","0074","85250"
"76","0075","82551"
"77","0076","12731"
"78","0077","88763"
"79","0078","29749"
"80","0079","52332"
"81","0080","87579"
"82","0081","73826"
"83","0082","24318"
"84","0083","71479"
"85","0084","28954"
"86","0085","38163"
"87","0086","14351"
"88","0087","59411"
"89","0088","74479"
"90","0089","27890"
"91","0090","13774"
"92","0091","59612"
"93","0092","83818"
"94","0093","47540"
"95","0094","39332"
"96","0095","85861"
"97","0096","39393"
"98","0097","98182"
"99","0098","92770"
"100","0099","31173"
"101","0100","13159"
"102","0101","64729"
"103","0102","20909"
"104","0103","25302"
"105","0104","63270"
"106","0105","96042"
"107","0106","90240"
"108","0107","61311"
"109","0108","32281"
"110","0109","68100"
"111","0110","45997"
"112","0111","41820"
"113","0112","20454"
"114","0113","55637"
"115","0114","27710"
"116","0115","91754"
"117","0116","22432"
"118","0117","84136"
"119","0118","86407"
"120","0119","22195"
"121","0120","19520"
"122","0121","43758"
"123","0122","69901"
"124","0123","50935"
"125","0124","34061"
"126","0125","35021"
"127","0126","25727"
"128","0127","91242"
"129","0128","37104"
"130","0129","85124"
"131","0130","30046"
"132","0131","84566"
"133","0132","33762"
"134","0133","19933"
"135","0134","42457"
"136","0135","87808"
"137","0136","34239"
"138","0137","79988"
"139","0138","59540"
"140","0139","42342"
"141","0140","79338"
"142","0141","94393"
"143","0142","64335"
"144","0143","59375"
"145","0144","75237"
"146","0145","16942"
"147","0146","89742"
"148","0147","44398"
"149","0148","62290"
"150","0149","32381"
"151","0150","67523"
"152","0151","70124"
"153","0152","49030"
"154","0153","15938"
"155","0154","75041"
"156","0155","58538"
"157","0156","69982"
"158","0157","44883"
"159","0158","32180"
"160","0159","74382"
"161","0160","76319"
"162","0161","15212"
"163","0162","85143"
"164","0163","71144"
"165","0164","60302"
"166","0165","39291"
"167","0166","36807"
"168","0167","74812"
"169","0168","58903"
"170","0169","82874"
"171","0170","51049"
"172","0171","64742"
"173","0172","70137"
"174","0173","52951"
"175","0174","69855"
"176","0175","86955"
"177","0176","62344"
"178","0177","20998"
"179","0178","64764"
"180","0179","32998"
"181","0180","60745"
"182","0181","55701"
"183","0182","62356"
"184","0183","68256"
"185","0184","21430"
"186","0185","81615"
"187","0186","65826"
"188","0187","33697"
"189","0188","94247"
"190","0189","29409"
"191","0190","73238"
"192","0191","23484"
"193","0192","77128"
"194","0193","13227"
"195","0194","26132"
"196","0195","94182"
"197","0196","51218"
"198","0197","93496"
"199","0198","37372"
"200","0199","84018"
"201","0200","56533"
"202","0201","84006"
"203","0202","34011"
"204","0203","60569"
"205","0204","21624"
"206","0205","69394"
"207","0206","17921"
"208","0207","80800"
"209","0208","47028"
"210","0209","83070"
"211","0210","92181"
"212","0211","76744"
"213","0212","77004"
"214","0213","62450"
"215","0214","57940"
"216","0215","13000"
"217","0216","76725"
"218","0217","16558"
"219","0218","90116"
"220","0219","47449"
"221","0220","69780"
"222","0221","89579"
"223","0222","85994"
"224","0223","79587"
"225","0224","51515"
"226","0225","48278"
"227","0226","32514"
"228","0227","56437"
"229","0228","71907"
"230","0229","32655"
"231","0230","22154"
"232","0231","29996"
"233","0232","90510"
"234","0233","54372"
"235","0234","54425"
"236","0235","85443"
"237","0236","17744"
"238","0237","82984"
"239","0238","85696"
"240","0239","31215"
"241","0240","56176"
"242","0241","37317"
"243","0242","96535"
"244","0243","91828"
"245","0244","40311"
"246","0245","46391"
"247","0246","81079"
"248","0247","36759"
"249","0248","69903"
"250","0249","86847"
"251","0250","91998"
"252","0251","51412"
"253","0252","15953"
"254","0253","34375"
"255","0254","21165"
"256","0255","81455"
"257","0256","30680"
"258","0257","15193"
"259","0258","43176"
"260","0259","72692"
"261","0260","44892"
"262","0261","69271"
"263","0262","15357"
"264","0263","95229"
"265","0264","68025"
"266","0265","24313"
"267","0266","82170"
"268","0267","34936"
"269","0268","31587"
"270","0269","65483"
"271","0270","57755"
"272","0271","51187"
"273","0272","17188"
"274","0273","56847"
"275","0274","95441"
"276","0275","49254"
"277","0276","46783"
"278","0277","65251"
"279","0278","56554"
"280","0279","59569"
"281","0280","87127"
"282","0281","44149"
"283","0282","91259"
"284","0283","73261"
"285","0284","77592"
"286","0285","84330"
"287","0286","19556"
"288","0287","44391"
"289","0288","77413"
"290","0289","35464"
"291","0290","62103"
"292","0291","16600"
"293","0292","33114"
"294","0293","38217"
"295","0294","52235"
"296","0295","96838"
"297","0296","61154"
"298","0297","59114"
"299","0298","21006"
"300","0299","70154"
"301","0300","62842"
"302","0301","39133"
"303","0302","87214"
"304","0303","42017"
